tag,line,line_type,quire,page,folio,bifolio,section,language,writing_hand,currier_hand,annotations,paragraph,order0,K_topic,topic_id
f1r,1.0,1,A,A,a,1,Text-only,A,1,1,Various (combination; deprecated),fachys ykal ar ataiin shol shory cthres kor sholdy sory ckhar or kair chtaiin shar ase cthar cthar dan syaiir sheky or ykaiin shod cthoary cthes daraiin sy soiin oteos roloty cthiar okaiin or okan sair chear cthaiin cphar cfhaiin ydaraishy,0,6:5,5
f1r,7.0,1,A,A,a,1,Text-only,A,1,1,Various (combination; deprecated),odar c'y shol cphoy oydar sh cfhoaiin shodary yshey shody okchoy otchol chocthy chy dain chor kos shos cfhol shody dain teody,1,6:5,5
f1r,11.0,1,A,A,a,1,Text-only,A,1,1,Various (combination; deprecated),ydain cphesaiin ols cphey ytain shoshy cphodal es oksho kshoy otairin okan shodain sckhey shoy ckhey kodaiin cphy cphodaiils cthey sho oldain dain chol odaiin chodain chdy okain d?n cthy kod shckhey ckeo char shey kol chol chol kor chal sho chol shodan kshy kchy or chodaiin sho koeam ycho tchey chekain sheo pshol dydyd cthy daictoy yto shol she kodshey cphealy ain dain ckhyds dchar shcthaiin okaiir chey chy tol cthols dlocto shok chor chey dain ckhey daiiin,2,6:5,5
f1r,22.0,1,A,A,a,1,Text-only,A,1,1,Various (combination; deprecated),cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro ydoin chol dain cthal shear kaiin shey cthar cho ?o kaiin shoaiin far cthol ctholdar ycheey okeey oky okchey kokaiin o?chol k?dchy dcheo shody koshey cthy ok chey chtor ?eo? chol chok choty chotey dchaiin,3,6:5,5
f1v,1.0,1,A,B,a,1,Herbal,A,1,1,Colour annotation,kchsy chydaiin olo tchey char cfhar yteey char or ochydcho lkody okodar chody da ckhy ckhockhy shydksheey cthy kotchody dol chokeo dair damsochey chokody,4,6:5,5
f1v,5.0,1,A,B,a,1,Herbal,A,1,1,Colour annotation,potoy shol dair cphoaldar chey tody otoaiin shoshy choky chol ctho shol okaldolchey chodo lol chy cthy qo ol choees cheol dol ctheyykol dol dolo ykol do lchiody okolshol kol kechy chol kychol cthol chody chol shor chol dol ky darshol dchor tcho shody taor chotchey chodyschody pol chodar,5,6:5,5
f2r,1.0,1,A,C,b,2,Herbal,A,1,1,Colour annotation,kydainy ypchol otchalypchaiin ckholsy dorchorychkar sshor cthy cto qotaiincthey ychor chy ydychaiin c'oaiidychtod dycphy dalschokaiin otochor alshodaiinchol danytchaiin dan saiin dain ddkol sorytoldydchol dchy cthy shor ckhy daiinychol dan,6,6:5,5
f2r,8.0,1,A,C,b,2,Herbal,A,1,1,Colour annotation,kydain shaiin qoy shol fodanyksh olsheey daiildy dls sho kol sheey qokey ykody sochol yky dain daiisol qo'ky cholaiin shol sheky daiincthey keol saiin e'a'iin ychain chy dalor shan danolsaiin sheey ckhor chy chor cthor yor an chansaiin chety chyky sho chey chcthy,7,6:5,5
f2r,14.0,0,A,C,b,2,Herbal,A,1,1,Colour annotation,ytoail ios an on,8,6:5,5
f2v,1.0,1,A,D,b,2,Herbal,A,1,1,Other extraneous writing,kooiin cheo pchor otaiin odain chordair shty kcho kchy sho shol qotcho loeees qotychor otchy chor lshy chol chody chodainchcthy sho cholo cheor chodaiin,10,6:5,5
f2v,5.0,1,A,D,b,2,Herbal,A,1,1,Other extraneous writing,kchor shy daiiin chckoms shey dor chol dor chol chor chol keol chy chtydaiin tchor chan chotchey qoteeey chokeoschees chr cheaiin chokoishe chor cheol chol dolody,11,6:5,5
f3r,1.0,1,A,E,c,3,Herbal,A,1,1,Other extraneous writing,tsheos qopal chol cthol daimg ycheor chor dam qotcham cham ochor qocheor chol cthy schey chor chal chag cham cho qokol chololy cham cthol ychtaiin chor cthom otaldam otchol qodaiin chom shom damo ysheor chor chol oky dago sho vor sheoldam otchody ol ydar cholcthom,12,6:5,5
f3r,11.0,1,A,E,c,3,Herbal,A,1,1,Other extraneous writing,pcheol shol sols sheol shey okadaiin qokchor qo schodam octhy qokeey qot shey qokody qokshey cheody chor qodair okeey qokeey,13,6:5,5
f3r,15.0,1,A,E,c,3,Herbal,A,1,1,Other extraneous writing,tsheoarom shor or chor olchsy chom otchomoporar chol cheol ekshy qokeom qokol daiinsoleeg soeom okeom yteody qokeeodal sam,14,6:5,5
f3r,18.0,1,A,E,c,3,Herbal,A,1,1,Other extraneous writing,pcheoldom shodaiin qopchor qopol opchol qotyotolom otchor ol cheor qoeor dair qoteol qosaiinchor cthy ycheor chol odaiin chol aiin or,15,6:5,5
f3v,1.0,1,A,F,c,3,Herbal,A,1,1,Other extraneous writing,koaiin cphor qotoy sha ckhol ykoaiin oly daiidy qoteeol okeeor okor olytol dol okom chol shol seees chom cheeykam okai qodar ees eey kcheol okal do chear een ychear otchal cho char ckha or cheor kor chodaly chom,16,6:5,5
f3v,7.0,1,A,F,c,3,Herbal,A,1,1,Other extraneous writing,tchor otcham chor cfham ykchy kchom chor chckhol oka ytcheear okeol cthodoaly chor cthy ochos qokshol daiim chol okary sho shockho ckhy tchor chodaiin chom osh chodair ytchy tchor kcham shar shkaiin qokchy yty cthal chky dain sheam keam,17,6:5,5
f4r,1.0,1,A,G,d,4,Herbal,A,1,1,Colour annotation,kodalchy chpady sheol ol sheey qoteydoiin chor ytoy dchor shol shol cthol shtchy chaiin schoraiin chom otchol chol chy chaiin qotaiindaiin shain qotchol chy yty okaiin cthy,18,6:5,5
f4r,5.0,1,A,G,d,4,Herbal,A,1,1,Colour annotation,pydaiin qotchy dy tydy chor shytchy dytcheey qotaiin cthol cthom shor shol shol cthy cpholdy ckhochy tchy kor aiin odal shor shyshol cphaiin qotchoiin sheor qoty soiin chaiin chaiin cthey,19,6:5,5
f4v,1.0,1,A,H,d,4,Herbal,A,1,1,Colour annotation,pchooiin ksheo kchoy chopchy doldsdlod ol chey chy cthy shkchor sheo cheorycholdy sho sho chaiin shaiin qodaiino aram qokshy qocthy choteol ctheychoaiin shor sheey cto otoiin shey qotchoiinchodain ytchoy shokchy cphody,20,6:5,5
